SET,MU,MU_TEST2TRAIN,R,R_TEST2TRAIN,THRESHOLD,AV_TP,SD_TP,SE_TP,NR_TP,AV_FN,SD_FN,SE_FN,NR_FN,AV_FP,SD_FP,SE_FP,NR_FP,AV_TN,SD_TN,SE_TN,NR_TN,AV_TRUE_POS,SD_TRUE_POS,SE_TRUE_POS,NR_TRUE_POS,AV_TRUE_NEG,SD_TRUE_NEG,SE_TRUE_NEG,NR_TRUE_NEG,AV_LABL_POS,SD_LABL_POS,SE_LABL_POS,NR_LABL_POS,AV_LABL_NEG,SD_LABL_NEG,SE_LABL_NEG,NR_LABL_NEG,AV_ALL,SD_ALL,SE_ALL,NR_ALL,AV_ACCURACY,SD_ACCURACY,SE_ACCURACY,NR_ACCURACY,AV_TNR,SD_TNR,SE_TNR,NR_TNR,AV_FPR,SD_FPR,SE_FPR,NR_FPR,AV_FNR,SD_FNR,SE_FNR,NR_FNR,AV_RECALL,SD_RECALL,SE_RECALL,NR_RECALL,AV_PRECISION,SD_PRECISION,SE_PRECISION,NR_PRECISION,AV_FDR,SD_FDR,SE_FDR,NR_FDR,AV_FOR,SD_FOR,SE_FOR,NR_FOR
14,1.25e-07,10.0,5e-10,0.05,0.45,4644905.76,86965.74991801314,8696.574991801313,100,3206727.81,78553.14984692784,7855.3149846927845,100,24582289.05,208250.92839396297,20825.092839396297,100,405066976.38,444318.9395451376,44431.893954513755,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,29227194.81,214380.78163859257,21438.078163859256,100,408273704.19,436939.7055971841,43693.97055971841,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9364822717234411,0.0004864567695977358,4.864567695977358e-05,100,0.9427851265055532,0.0004929951806506857,4.929951806506857e-05,100,0.057214873494446566,0.0004929951806506861,4.929951806506861e-05,100,0.40838902009352024,0.004203845649824433,0.0004203845649824433,100,0.5916109799064798,0.0042038456498244255,0.00042038456498244255,100,0.15892676620278393,0.0028971913994905985,0.00028971913994905985,100,0.8410732337972161,0.0028971913994905955,0.0002897191399490595,100,0.00785436799467254,0.00019266002534638568,1.9266002534638567e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.5,4540188.51,85217.37712949103,8521.737712949103,100,3311445.06,81073.87161186025,8107.387161186025,100,23611831.65,202443.25519168947,20244.325519168946,100,406037433.78,439680.0612403884,43968.00612403884,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,28152020.16,208936.25653920003,20893.625653920004,100,409348878.84,432051.8219858521,43205.18219858521,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9384611093506114,0.0004745008241445796,4.7450082414457963e-05,100,0.9450438528468814,0.0004787511536085266,4.787511536085266e-05,100,0.054956147153118605,0.00047875115360853797,4.7875115360853796e-05,100,0.42172542338875324,0.004352184495502527,0.00043521844955025273,100,0.5782745766112468,0.004352184495502531,0.00043521844955025305,100,0.16127665708210234,0.0029408670806935428,0.0002940867080693543,100,0.8387233429178977,0.0029408670806935445,0.00029408670806935444,100,0.008089551575372014,0.00019828580270873076,1.9828580270873077e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.55,4457759.13,83887.84702847667,8388.784702847666,100,3393874.44,82690.22770779143,8269.022770779144,100,22627055.88,196184.82666655342,19618.48266665534,100,407022209.55,435043.2267611432,43504.322676114316,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,27084815.01,203131.30540108753,20313.130540108752,100,410416083.99,427182.40900689,42718.240900689,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9405236176389031,0.0004610295868457697,4.610295868457697e-05,100,0.9473359045107393,0.00046352269125226063,4.6352269125226064e-05,100,0.05266409548926057,0.000463522691252264,4.6352269125226396e-05,100,0.4322238947359844,0.004399680154278001,0.00043996801542780015,100,0.5677761052640156,0.004399680154278004,0.0004399680154278004,100,0.16458780273737206,0.0029993148726967546,0.0002999314872696755,100,0.8354121972626279,0.002999314872696763,0.0002999314872696763,100,0.008269359317843117,0.00020169323505374794,2.0169323505374794e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.6,4261961.88,80412.4756006529,8041.247560065291,100,3589671.69,87184.55244258526,8718.455244258526,100,20848501.08,185109.76843655115,18510.976843655117,100,408800764.35,429716.51685850695,42971.651685850695,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,25110462.96,193031.8642083177,19303.18642083177,100,412390436.04,421238.38432747126,42123.83843274713,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9441413479663154,0.0004404644937516085,4.404644937516085e-05,100,0.9514754590263287,0.00043729513748550397,4.3729513748550396e-05,100,0.04852454097367123,0.0004372951374854974,4.372951374854974e-05,100,0.4571597563182587,0.004589230907350428,0.0004589230907350428,100,0.5428402436817413,0.004589230907350433,0.0004589230907350433,100,0.16973110476925463,0.0030825166103987385,0.0003082516610398738,100,0.8302688952307453,0.003082516610398737,0.0003082516610398737,100,0.008704554414335555,0.00021159736342202476,2.1159736342202475e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.65,4080162.24,76744.87461207033,7674.4874612070325,100,3771471.33,89676.75016792871,8967.675016792871,100,19375094.97,175852.08125037677,17585.208125037676,100,410274170.46,424559.46429856966,42455.946429856966,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,23455257.21,184143.02847109333,18414.302847109335,100,414045641.79,415473.4621815043,41547.34621815043,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9470935920105675,0.000422084484054228,4.22084484054228e-05,100,0.9549047874404281,0.0004151600270441992,4.151600270441992e-05,100,0.045095212559571995,0.00041516002704420447,4.151600270442045e-05,100,0.48031492153213096,0.004359664269477612,0.0004359664269477612,100,0.519685078467869,0.004359664269477613,0.0004359664269477613,100,0.17395783640517304,0.0031404963967619002,0.00031404963967619,100,0.8260421635948271,0.003140496396761905,0.0003140496396761905,100,0.009108837956120606,0.00021677221517918302,2.1677221517918303e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.7,3994245.09,75284.33894896004,7528.433894896004,100,3857388.48,91560.56461648543,9156.056461648543,100,18552727.71,169906.63107585267,16990.663107585267,100,411096537.72,420806.2517212186,42080.62517212186,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,22546972.8,178736.26832431072,17873.626832431073,100,414953926.2,411453.58161024674,41145.35816102468,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9487769084024116,0.00041094687770731994,4.109468777073199e-05,100,0.956818835090519,0.00040086603646868657,4.008660364686866e-05,100,0.04318116490948094,0.00040086603646868776,4.0086603646868774e-05,100,0.4912571316838165,0.00442993446489345,0.000442993446489345,100,0.5087428683161835,0.00442993446489345,0.000442993446489345,100,0.17715474776438572,0.00319036284796052,0.000319036284796052,100,0.8228452522356142,0.0031903628479605125,0.00031903628479605124,100,0.009295951503680337,0.00022081717704435275,2.2081717704435275e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.75,3928940.73,74171.29128077182,7417.129128077182,100,3922692.84,92823.6950114269,9282.36950114269,100,17733066.12,164332.41745183937,16433.241745183936,100,411916199.31,417146.68180429516,41714.668180429515,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,21662006.85,173430.79805376986,17343.079805376987,100,415838892.15,407473.6825622822,40747.36825622822,100,437500899.0,336688.6224674068,33668.86224674068,100,0.950501155191677,0.0004005098472185395,4.005098472185395e-05,100,0.9587265855759494,0.0003874087468424067,3.874087468424067e-05,100,0.04127341442405081,0.00038740874684240856,3.8740874684240854e-05,100,0.4995743992915132,0.004447598371872137,0.0004447598371872137,100,0.5004256007084869,0.0044475983718721395,0.00044475983718721395,100,0.18137727333393458,0.003260839095959268,0.0003260839095959268,100,0.8186227266660654,0.003260839095959255,0.0003260839095959255,100,0.009433210637802532,0.0002233791545784268,2.233791545784268e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.8,3732447.51,71001.68220197251,7100.168220197251,100,4119186.06,97000.95328168894,9700.095328168894,100,16150691.7,153016.64087624586,15301.664087624586,100,413498573.73,413521.01955201395,41352.1019552014,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,19883139.21,163347.79036634043,16334.779036634043,100,417617759.79,402909.80751297914,40290.98075129792,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9536688804474855,0.00038347093767162466,3.834709376716247e-05,100,0.962409531267147,0.0003609793322793864,3.609793322793864e-05,100,0.03759046873285295,0.0003609793322793772,3.609793322793772e-05,100,0.5245996474581279,0.004594323961885571,0.00045943239618855713,100,0.475400352541872,0.004594323961885578,0.00045943239618855783,100,0.1877214271047887,0.0033639704370936672,0.00033639704370936674,100,0.8122785728952112,0.0033639704370936638,0.00033639704370936637,100,0.00986353891348688,0.00023242593679144585,2.3242593679144584e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.85,3562020.0,67755.17189602577,6775.517189602577,100,4289613.57,99555.89335215218,9955.589335215218,100,14723779.95,143242.87000499363,14324.287000499364,100,414925485.48,408734.7867791162,40873.47867791162,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,18285799.95,154017.81968813707,15401.781968813706,100,419215099.05,397298.19667925435,39729.81966792543,100,437500899.0,336688.6224674068,33668.86224674068,100,0.956540844628087,0.00036707527769400583,3.670752776940058e-05,100,0.9657306448515521,0.00033769394069951977,3.376939406995198e-05,100,0.03426935514844806,0.0003376939406995261,3.376939406995261e-05,100,0.5463063898796157,0.004435385413437483,0.0004435385413437483,100,0.4536936101203842,0.0044353854134374805,0.00044353854134374803,100,0.194799261560546,0.003468441546081961,0.0003468441546081961,100,0.8052007384394542,0.00346844154608196,0.000346844154608196,100,0.010232495512609897,0.00023764244477767564,2.3764244477767564e-05,100
14,1.25e-07,10.0,5e-10,0.05,0.9,3463481.34,66170.86548689235,6617.086548689234,100,4388152.23,101610.69371329526,10161.069371329526,100,13919975.19,136850.51072975175,13685.051072975175,100,415729290.24,404746.5688282019,40474.65688282019,100,7851633.57,154463.238320984,15446.3238320984,100,429649265.43,368551.36993432156,36855.136993432156,100,17383456.53,148236.88481012106,14823.688481012106,100,420117442.47,392816.92290448624,39281.69229044863,100,437500899.0,336688.6224674068,33668.86224674068,100,0.9581528840493589,0.0003573142659375296,3.573142659375296e-05,100,0.9676014895373004,0.0003223034601534961,3.2230346015349614e-05,100,0.03239851046269967,0.00032230346015349774,3.2230346015349776e-05,100,0.5588562405551053,0.004493486199742483,0.0004493486199742483,100,0.44114375944489465,0.004493486199742481,0.00044934861997424807,100,0.19924198789000855,0.0035371208492389014,0.00035371208492389014,100,0.8007580121099913,0.0035371208492389005,0.00035371208492389003,100,0.01044506769285329,0.00024200973613092193,2.4200973613092192e-05,100
